[DEBUG] 2019-10-16 19:42:22.595 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-16 19:42:22.599 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-16 19:42:22.602 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-16 19:42:22.663 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-16 19:42:22.665 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-16 19:42:22.818 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-16 19:42:22.819 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-16 19:42:22.822 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-16 19:42:23.101 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-16 19:42:23.122 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-16 19:42:23.122 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-16 19:42:23.138 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-16 19:42:23.456 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3daa82be
[DEBUG] 2019-10-16 19:42:23.456 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3daa82be
[DEBUG] 2019-10-16 19:42:23.456 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3daa82be
[DEBUG] 2019-10-16 19:42:23.456 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@e344ad3
[DEBUG] 2019-10-16 19:42:23.457 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4f8b4bd0
[DEBUG] 2019-10-16 19:42:23.457 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@597f48df
[DEBUG] 2019-10-16 19:42:23.458 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58a4a74d
[DEBUG] 2019-10-16 19:42:23.458 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58a4a74d
[DEBUG] 2019-10-16 19:42:23.458 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@58a4a74d
[DEBUG] 2019-10-16 19:42:23.458 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4f63e3c7
[DEBUG] 2019-10-16 19:42:23.459 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4f63e3c7
[DEBUG] 2019-10-16 19:42:23.459 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4f63e3c7
[DEBUG] 2019-10-16 19:42:23.459 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1e54cb33
[DEBUG] 2019-10-16 19:42:23.459 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1e54cb33
[DEBUG] 2019-10-16 19:42:23.459 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1e54cb33
[DEBUG] 2019-10-16 19:42:23.460 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5b4d25e7
[DEBUG] 2019-10-16 19:42:23.460 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5b4d25e7
[DEBUG] 2019-10-16 19:42:23.460 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5b4d25e7
[DEBUG] 2019-10-16 19:42:23.461 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2f61f937
[DEBUG] 2019-10-16 19:42:23.461 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2f61f937
[DEBUG] 2019-10-16 19:42:23.461 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2f61f937
[DEBUG] 2019-10-16 19:42:23.462 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@68dcfd52
[DEBUG] 2019-10-16 19:42:23.462 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@68dcfd52
[DEBUG] 2019-10-16 19:42:23.462 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@68dcfd52
[DEBUG] 2019-10-16 19:42:23.463 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3162743f
[DEBUG] 2019-10-16 19:42:23.463 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3162743f
[DEBUG] 2019-10-16 19:42:23.463 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3162743f
[DEBUG] 2019-10-16 19:42:23.463 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@1b29d52b
[DEBUG] 2019-10-16 19:42:23.463 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@1b29d52b
[DEBUG] 2019-10-16 19:42:23.464 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@c6e0f32
[DEBUG] 2019-10-16 19:42:23.464 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@c6e0f32
[DEBUG] 2019-10-16 19:42:23.465 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@4a68135e
[DEBUG] 2019-10-16 19:42:23.465 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@4a68135e
[DEBUG] 2019-10-16 19:42:23.465 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2a9bc08f
[DEBUG] 2019-10-16 19:42:23.465 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1abc9f14
[DEBUG] 2019-10-16 19:42:23.466 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@3e4f80cb
[DEBUG] 2019-10-16 19:42:23.466 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3e4f80cb
[DEBUG] 2019-10-16 19:42:23.467 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@e04ccf8
[DEBUG] 2019-10-16 19:42:23.467 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@e04ccf8
[DEBUG] 2019-10-16 19:42:23.480 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@1c504e66
[DEBUG] 2019-10-16 19:42:23.480 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@1c504e66
[DEBUG] 2019-10-16 19:42:23.483 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@35835e65
[DEBUG] 2019-10-16 19:42:23.483 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@35835e65
[DEBUG] 2019-10-16 19:42:23.488 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@11a00961
[DEBUG] 2019-10-16 19:42:23.488 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@11a00961
[DEBUG] 2019-10-16 19:42:23.490 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@53ac845a
